HeroName,HeroStrength,HeroAgility,HeroWeaponName,HeroWeaponBonus,EnemyName,EnemyStrength,EnemyAgility,EnemyNumber,Outcome
Gimli,8,5,ElvenBow,-2,Troll,10,2,4,1
Gimli,8,5,Sword,4,Troll,10,2,10,0
Legolas,7,10,Anduril,5,Troll,10,2,13,0
Legolas,7,10,Anduril,5,Uruk-hai,7,6,15,0
Gimli,8,5,Anduril,4,Orc,5,4,3,1
Boromir,8,5,DwarvenAxe,4,Uruk-hai,7,6,9,0
Boromir,8,5,Sword,7,Uruk-hai,7,6,8,1
Legolas,7,10,Sword,5,Uruk-hai,7,6,2,1
Legolas,7,10,DwarvenAxe,-2,Orc,5,4,20,0
Frodo,3,5,Sword,-1,Orc,5,4,1,0
Gimli,8,5,DwarvenAxe,7,Orc,5,4,17,0
Frodo,3,5,DwarvenAxe,-2,Orc,5,4,2,0
Boromir,8,5,Sting,4,Troll,10,2,14,0
Boromir,8,5,ElvenBow,3,Uruk-hai,7,6,20,0
Aragorn,9,7,Sword,7,Uruk-hai,7,6,8,0
Gimli,8,5,Sword,4,Uruk-hai,7,6,20,0
Gimli,8,5,DwarvenAxe,7,Orc,5,4,6,1
Aragorn,9,7,Anduril,9,Orc,5,4,19,0
Gimli,8,5,ElvenBow,-2,Uruk-hai,7,6,12,0
Gimli,8,5,Anduril,4,Troll,10,2,3,1
Gimli,8,5,DwarvenAxe,7,Troll,10,2,2,1
Legolas,7,10,Sting,5,Uruk-hai,7,6,1,1
Legolas,7,10,Anduril,5,Uruk-hai,7,6,5,1
Gimli,8,5,DwarvenAxe,7,Orc,5,4,2,1
Legolas,7,10,Anduril,5,Troll,10,2,1,1
Aragorn,9,7,Sword,7,Troll,10,2,3,1
Frodo,3,5,ElvenBow,-7,Uruk-hai,7,6,3,0
Gimli,8,5,DwarvenAxe,7,Troll,10,2,4,0
Aragorn,9,7,ElvenBow,5,Uruk-hai,7,6,12,0
Aragorn,9,7,DwarvenAxe,4,Orc,5,4,19,0
Aragorn,9,7,DwarvenAxe,4,Troll,10,2,2,1
Frodo,3,5,Sword,-1,Orc,5,4,5,0
Gimli,8,5,ElvenBow,-2,Uruk-hai,7,6,5,1
Gimli,8,5,Sting,5,Troll,10,2,4,1
Aragorn,9,7,Anduril,9,Troll,10,2,2,1
Boromir,8,5,Anduril,6,Uruk-hai,7,6,5,1
Aragorn,9,7,Anduril,9,Uruk-hai,7,6,7,0
Boromir,8,5,Sting,4,Orc,5,4,2,1
Boromir,8,5,Sting,4,Uruk-hai,7,6,18,0
